sample_id,price
0,20.171875
4,1.5166015625
6,6.34765625
11,21.234375
12,5.3515625
16,10.5078125
22,14.734375
24,3.173828125
30,28.96875
33,6.1328125
34,117.8125
38,5.2578125
39,9.796875
46,15.9453125
52,59.4375
54,28.96875
60,8.0390625
70,13.2734375
77,11.9453125
79,26.5
87,16.109375
88,11.8671875
96,242.75
103,21.984375
105,13.5234375
106,10.3984375
110,3.818359375
111,16.421875
112,9.7734375
115,16.078125
119,55.78125
121,34.375
124,24.0
129,12.4609375
130,5.30078125
131,6.66796875
144,18.09375
147,25.765625
149,3.984375
151,11.2265625
161,11.203125
164,33.3125
170,42.03125
172,52.125
174,7.50390625
175,23.515625
180,19.359375
183,15.4609375
186,2.146484375
196,7.29296875
197,10.671875
198,4.55078125
208,5.1796875
211,4.7421875
219,7.05078125
221,6.7578125
222,8.828125
230,13.578125
235,16.28125
239,13.0234375
254,8.5625
256,5.3125
260,13.578125
262,5.89453125
264,17.140625
265,13.578125
267,14.3984375
271,13.578125
274,4.1640625
277,5.89453125
282,15.140625
283,6.50390625
295,20.671875
298,11.421875
304,9.421875
305,6.95703125
307,8.578125
308,10.1328125
313,14.046875
315,30.78125
317,17.25
321,9.7734375
323,7.6875
331,10.203125
337,4.31640625
349,13.75
350,16.65625
353,32.90625
355,13.6953125
356,19.96875
358,6.125
361,22.625
362,22.34375
366,24.640625
367,26.671875
369,33.4375
371,18.421875
378,30.234375
380,19.171875
382,6.97265625
384,31.46875
385,26.78125
386,18.578125
391,26.78125
394,7.5703125
397,16.28125
400,18.015625
402,18.390625
403,36.21875
406,3.052734375
408,14.4296875
413,15.78125
417,19.796875
423,9.6484375
428,10.625
431,11.7421875
436,19.046875
447,21.109375
450,14.3671875
452,9.3359375
459,15.296875
465,17.25
472,9.5625
476,6.71484375
483,10.671875
488,3.66015625
493,16.65625
495,4.59375
499,33.4375
501,4.66015625
502,33.4375
504,11.3515625
505,18.390625
508,33.4375
510,56.0
523,1.7958984375
524,1.7958984375
527,3.68359375
528,17.875
546,2.421875
549,18.3125
562,12.6953125
565,5.72265625
567,24.09375
569,12.9375
572,5.609375
575,5.72265625
588,5.44921875
589,9.1953125
597,9.5859375
602,12.25
612,4.765625
616,10.828125
619,39.90625
621,6.12109375
629,17.828125
630,5.9609375
631,17.078125
634,29.453125
644,12.1171875
653,17.25
658,13.3828125
659,8.15625
674,9.3984375
677,12.1484375
690,37.5625
696,21.578125
697,8.15625
698,26.5
704,26.5625
705,17.796875
710,20.296875
713,17.4375
715,4.16015625
721,14.609375
730,16.3125
731,13.75
735,20.640625
751,9.1796875
752,42.53125
772,13.4140625
774,11.375
775,27.484375
778,84.25
782,61.34375
787,5.765625
789,10.2421875
790,22.859375
791,10.1171875
796,20.046875
797,20.09375
800,11.7421875
803,27.046875
811,55.78125
835,5.35546875
844,6.24609375
849,37.625
852,26.71875
854,9.3984375
861,26.78125
868,39.96875
869,31.921875
